ID,name,link,summit,drop,beginner runs,intermediate runs,advanced runs,expert runs,state
81,Elk Mountain Ski Resort,https://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html,2693ft,1000ft,6,10,11,0,pennsylvania
82,June Mountain,https://www.onthesnow.com/california/june-mountain/ski-resort.html,10090ft,2590ft,7,17,12,7,california
83,Mission Ridge,https://www.onthesnow.com/washington/mission-ridge/ski-resort.html,6820ft,2250ft,0,0,0,0,washington
84,Snow Summit,https://www.onthesnow.com/california/snow-summit/ski-resort.html,8200ft,1200ft,5,13,7,2,california
85,Soldier Mountain Ski Area,https://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html,7200ft,1400ft,7,18,4,7,idaho
86,Stowe Mountain,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html,4395ft,2360ft,19,64,17,17,vermont
87,Timberline Mountain,https://www.onthesnow.com/west-virginia/timberline-four-seasons/ski-resort.html,4265ft,1000ft,11,4,5,2,west-virginia
88,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,12510ft,4406ft,20,144,57,114,colorado
89,Blacktail Mountain Ski Area,https://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html,6676ft,1440ft,4,18,5,0,montana
90,Jay Peak,https://www.onthesnow.com/vermont/jay-peak/ski-resort.html,3968ft,2153ft,21,40,19,0,vermont
91,Gunstock,https://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html,2300ft,1400ft,7,25,15,1,new-hampshire
92,Kissing Bridge,https://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html,1700ft,550ft,8,20,12,0,new-york
93,Mt. Shasta Ski Park,https://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,6890ft,1435ft,6,18,8,0,california
94,Ski Santa Fe,https://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html,12075ft,1725ft,14,28,40,4,new-mexico
95,Ski Brule,https://www.onthesnow.com/michigan/ski-brule/ski-resort.html,1860ft,500ft,6,6,4,1,michigan
96,Grand Geneva,https://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html,1086ft,211ft,8,6,4,2,wisconsin
97,Welch Village,https://www.onthesnow.com/minnesota/welch-village/ski-resort.html,1060ft,360ft,16,25,8,2,minnesota
98,Caberfae Peaks,https://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,1569ft,485ft,12,11,11,0,michigan
99,Copper Mountain,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,12313ft,2738ft,38,36,51,26,colorado
100,Crystal Mountain,https://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,1132ft,375ft,16,27,15,0,michigan
101,Jiminy Peak,https://www.onthesnow.com/massachusetts/jiminy-peak/ski-resort.html,2380ft,1150ft,23,13,6,3,massachusetts
102,Labrador Mt.,https://www.onthesnow.com/new-york/labrador-mt/ski-resort.html,1825ft,700ft,8,8,8,0,new-york
103,Purgatory,https://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html,10822ft,2029ft,23,37,32,14,colorado
104,Song Mountain,https://www.onthesnow.com/new-york/song-mountain/ski-resort.html,1940ft,700ft,12,7,3,2,new-york
105,Tahoe Donner,https://www.onthesnow.com/california/tahoe-donner/ski-resort.html,7350ft,600ft,7,8,2,0,california
106,Enchanted Forest Ski Area,https://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html,10078ft,400ft,10,18,1,6,new-mexico
107,Deer Valley Resort,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,9570ft,3000ft,28,32,10,33,utah
108,Ski Snowstar Winter Sports Park,https://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html,790ft,262ft,2,3,4,6,illinois
109,Telluride,https://www.onthesnow.com/colorado/telluride/ski-resort.html,13150ft,4425ft,24,44,31,50,colorado
110,Bear Creek Mountain Resort,https://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html,1100ft,510ft,7,9,7,0,pennsylvania
111,Chestnut Mountain Resort,https://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,1040ft,475ft,5,11,3,0,illinois
112,Great Divide,https://www.onthesnow.com/montana/great-divide/ski-resort.html,7330ft,1580ft,11,50,50,0,montana
113,Greek Peak,https://www.onthesnow.com/new-york/greek-peak/ski-resort.html,2100ft,952ft,20,16,15,5,new-york
114,Crested Butte Mountain Resort,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,12162ft,3062ft,17,30,30,44,colorado
115,Eldora Mountain Resort,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html,10600ft,1400ft,12,28,12,13,colorado
116,Lutsen Mountains,https://www.onthesnow.com/minnesota/lutsen-mountains/ski-resort.html,1688ft,825ft,6,36,15,5,minnesota
117,McCauley Mountain Ski Center,https://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html,2250ft,633ft,6,10,7,0,new-york
118,Mount La Crosse,https://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,1110ft,516ft,6,4,8,2,wisconsin
119,Red River,https://www.onthesnow.com/new-mexico/red-river/ski-resort.html,10350ft,1600ft,20,20,24,0,new-mexico
